nama_makanan,gambar,kalori,karbohidrat,protein,harga,level_harga,tipe_diet,cluster
"Cumi Lada Hitam,https://m.ftscrt.com/static/recipe/0ffeccac-d8aa-4aef-8ccc-91bd05d5a335.jpg,107,""6,46"",12.17,14000,Normal,Normal",,,,,,,,0
"Bubur Ayam Oatmeal,https://m.ftscrt.com/static/recipe/57a453bc-00aa-4394-a089-9028ab09cc1e.jpg,434,""38,34"",35.87,21000,Mahal,Normal",,,,,,,,0
Tumis Tahu dan Tuna,https://m.ftscrt.com/static/recipe/d18fe186-d3ef-4e1e-bba6-ff947a09f221.jpg,313.0,23.0,17.9,27000.0,Mahal,Normal,1
"Bulgogi,https://m.ftscrt.com/static/recipe/d5f8b0d9-dadc-45ac-9eb0-6b2b3a7963d3.jpg,704,""65,6"",35.52,38000,Premium,Normal",,,,,,,,0
"Tumis Timun dan Ayam,https://m.ftscrt.com/static/recipe/698e30fc-8687-47c1-b7be-529db7f9eea5.jpg,236,""8,93"",10.16,15000,Normal,Normal",,,,,,,,0
"Tumis Kangkung,https://m.ftscrt.com/static/recipe/dd44fafb-7c78-4a53-bdf6-b34c952f060e.jpg,58,""1,6"",6.41,6000,Murah,Keto",,,,,,,,0
"Tumis Telur Tahu,https://m.ftscrt.com/static/recipe/5ff58275-2317-4e0e-aaee-7ebe45a505a5.jpg,278,""15,09"",26.23,14000,Normal,Normal",,,,,,,,0
"Bubur Ayam Oatmeal,https://m.ftscrt.com/static/recipe/458178e5-70b7-4b63-ad16-a0dfc280efe3.jpg,310,""24,33"",34.37,37000,Premium,Normal",,,,,,,,0
"Ayam Saos Tiram,https://m.ftscrt.com/static/recipe/7d697424-6c3e-4844-bccd-03e715b618a7.jpg,669,""29,58"",76.66,39000,Premium,Normal",,,,,,,,0
"Spaghetti Gandum dengan Saus Tomat,https://m.ftscrt.com/static/recipe/db201b7a-b425-4dfb-9459-ae0083d41ddd.jpg,252,""34,01"",12.42,18000,Normal,Normal",,,,,,,,0
"Salad Sayur,https://m.ftscrt.com/static/recipe/c6e3392f-b02f-444e-a1be-e0625c349c6e.jpg,134,""8,9"",32.69,18000,Normal,Vegetarian",,,,,,,,0
"Green Smoothie,https://m.ftscrt.com/static/recipe/1e98265c-fb97-43e5-851a-42575e466f91.jpg,229,""33,68"",6.94,15000,Normal,Normal",,,,,,,,0
"Omlet Bayam,https://m.ftscrt.com/static/recipe/d8d89660-924a-4b6b-bb89-eacbe9a22367.jpg,95,""7,55"",7.04,10000,Normal,Vegetarian",,,,,,,,0
"Pakcoy dengan Bawang Putih,https://m.ftscrt.com/static/recipe/523a726d-9fdb-4b30-858b-039133c90dc0.jpg,193,""1,5"",14.22,18000,Normal,Keto",,,,,,,,0
"Pokcoy Kuah Pedas,https://m.ftscrt.com/static/recipe/a967d6c7-3549-48b3-a1ff-fbf326778bfd.jpg,348,""26,22"",29.26,34000,Premium,Normal",,,,,,,,0
"Tempe Kecap,https://m.ftscrt.com/static/recipe/082cfdd8-bbd1-4a46-a40c-e05649259d3a.jpg,489,""6,4"",56.79,25000,Mahal,Vegan",,,,,,,,0
"Bayam Tumis Tahu,https://m.ftscrt.com/static/recipe/5ba3aa97-6cb6-48c3-8f21-d804d4380e40.jpg,397,""11,82"",31.87,23000,Mahal,Vegetarian",,,,,,,,0
"Chicken Teriyaki,https://m.ftscrt.com/static/recipe/648b76e6-e4c3-4674-8eb3-eec94d151e5f.jpg,304,""5,2"",32.81,20000,Normal,Normal",,,,,,,,0
Telor Dadar,https://m.ftscrt.com/static/recipe/4a6ed25b-6543-4346-ba67-b72823d626a5.jpg,246.0,7.0,11.04,18000.0,Normal,Normal,2
"Sup Tahu Brokoli,https://m.ftscrt.com/static/recipe/62115c31-49dd-4fc9-b195-88707c406401.jpg,158,""8,89"",12.05,16000,Normal,Normal",,,,,,,,0
"Bihun Jamur,https://m.ftscrt.com/static/recipe/6ba736b9-e389-425f-8ec0-3c22d551956b.jpg,433,""55,15"",25.45,23000,Mahal,Normal",,,,,,,,0
"Sup Tofu Telur,https://m.ftscrt.com/static/recipe/afcbc87b-2fa3-401c-acfb-008d88fdaaa1.jpg,503,""5,3"",31.92,36000,Premium,Vegan",,,,,,,,0
Tempe Goreng,https://m.ftscrt.com/static/recipe/d4e86393-78a7-4547-9b27-1b858e29b379.jpg,25.0,0.0,1.3,6000.0,Murah,Keto,0
"Smoothies Berry,https://m.ftscrt.com/static/recipe/4dce64a2-1910-4c48-9862-4de8f2fb73e1.jpg,136,""26,9"",5.28,19000,Normal,Normal",,,,,,,,0
"Tempe Teriyaki,https://m.ftscrt.com/static/recipe/c250a11e-172b-4479-b2b6-1e6985fad605.jpg,484,""51,74"",18.94,36000,Premium,Vegan",,,,,,,,0
"Tumis Ayam Tahu Telur,https://m.ftscrt.com/static/recipe/86c26762-01f2-4a28-904a-6c539f1428e0.jpg,461,""0,3"",4.41,33000,Premium,Keto",,,,,,,,0
"Ayam Teriyaki,https://m.ftscrt.com/static/recipe/f4ad1c91-34fa-4fae-ad98-3aa4aa52aa1c.jpg,167,""5,96"",18.38,18000,Normal,Normal",,,,,,,,0
"Oseng Tahu Buncis Telur,https://m.ftscrt.com/static/recipe/bd55ba59-2c6d-440e-8641-89ab03a267cc.jpg,77,""4,68"",4.89,8000,Murah,Keto",,,,,,,,0
"Oseng Sawi Telur,https://m.ftscrt.com/static/recipe/485db2c7-a339-490b-bf52-18eb66a0229c.jpg,113,""1,6"",9.54,14000,Normal,Keto",,,,,,,,0
"Capcay Toge,https://m.ftscrt.com/static/recipe/7b071d87-c929-4812-91ad-b54eca1796d9.jpg,200,""23,42"",20.3,12000,Normal,Normal",,,,,,,,0
"Sup Telur,https://m.ftscrt.com/static/recipe/051eed7e-198e-4be3-9de2-397123bddc89.jpg,187,""3,6"",10.99,15000,Normal,Keto",,,,,,,,0
"Spaghetti,https://m.ftscrt.com/static/recipe/ec423167-afa7-4b00-a708-b72015a00d3f.jpg,693,""71,94"",44.5,25000,Mahal,Normal",,,,,,,,0
"Tempe Tahu Orek,https://m.ftscrt.com/static/recipe/5cbb7046-4610-454b-88c4-266719105876.jpg,5,""0,39"",0.18,10000,Normal,Keto",,,,,,,,0
"Tumis Sawi Tahu,https://m.ftscrt.com/static/recipe/5d03658d-cdb7-4d13-ad9b-ccf71c349ff2.jpg,450,""13,87"",14.88,20000,Normal,Normal",,,,,,,,0
"Shakshuka,https://m.ftscrt.com/static/recipe/fb98f709-9289-43bc-8dc8-4d043c9867d9.jpg,283,""6,3"",31.06,12000,Normal,Normal",,,,,,,,0
"Toast Avocado,https://m.ftscrt.com/static/recipe/445eff56-9751-43aa-853f-4b774d8527e9.jpg,488,""39,95"",6.83,21000,Mahal,Normal",,,,,,,,0
"Oat Almond Butter Cookies,https://m.ftscrt.com/static/recipe/ab505e48-9050-41b8-8f62-c04deef45fdf.jpg,46,""4,41"",1.42,8000,Murah,Keto",,,,,,,,0
"Blueband Biskuit Lunak,https://m.ftscrt.com/static/recipe/15f70bba-a2d1-4246-8192-60230f41c011.jpg,300,""32,54"",3.56,19000,Normal,Normal",,,,,,,,0
"Ayam Brokoli Tumis,https://m.ftscrt.com/static/recipe/fc638dbc-f534-4535-b9ab-fdf561cfc0a1.jpg,347,""14,47"",27.81,24000,Mahal,Normal",,,,,,,,0
"Vegan Cookies,https://m.ftscrt.com/static/recipe/58c1a644-41f6-4840-a0f4-173470d7c36a.jpg,63,""9,73"",1.21,6000,Murah,Normal",,,,,,,,0
"Bolu Sagon Kelapa,https://m.ftscrt.com/static/recipe/48b49dc1-f0b1-4ef5-95ae-947cfa61814c.jpg,499,""3,9"",41.87,28000,Mahal,Keto",,,,,,,,0
"Oatbanana Cookies,https://m.ftscrt.com/static/recipe/a83386c8-d69d-453f-9902-e8bd9a463061.jpg,385,""11,9"",71.42,33000,Premium,Normal",,,,,,,,0
"Sup Tomat,https://m.ftscrt.com/static/recipe/0447fff8-03f0-40cd-8119-adf1eff5c7d0.jpg,206,""11,35"",20.61,19000,Normal,Normal",,,,,,,,0
"Bihun Rebus,https://m.ftscrt.com/static/recipe/ac94cf7f-b1fe-491a-8e5e-0750d86273e0.jpg,186,""31,14"",1.38,12000,Normal,Normal",,,,,,,,0
"Prol Tape Keju,https://m.ftscrt.com/static/recipe/40a07461-1480-47ce-939d-f5900d4305e2.jpg,157,""22,65"",2.85,18000,Normal,Normal",,,,,,,,0
Stim Ikan Ala Chinese,https://m.ftscrt.com/static/recipe/caa2bb8c-4308-47f7-b7ab-6e66cc874508.jpg,134.0,1.0,8.14,16000.0,Normal,Keto,2
"Tumis Pakcoy,https://m.ftscrt.com/static/recipe/d3869313-994b-4cd0-a311-4240bf382cbb.jpg,30,""6,2"",1.22,8000,Murah,Normal",,,,,,,,0
"Banana Oat Cake,https://m.ftscrt.com/static/recipe/cca1aae7-25a5-44f4-82f5-994cc3bd51d0.jpg,322,""32,2"",14.4,24000,Mahal,Normal",,,,,,,,0
"Pan Sarden Pizza,https://m.ftscrt.com/static/recipe/56aaff7a-8c86-435c-92de-a9426be354ec.jpg,1244,""159,81"",54.05,23000,Mahal,Normal",,,,,,,,0
"Bibimbap,https://m.ftscrt.com/static/recipe/65ff05ea-40ee-4b16-9f63-b1fae2a6e9b5.jpg,438,""67,95"",15.39,23000,Mahal,Normal",,,,,,,,0
"Smoothie Buah Naga dan Pisang,https://m.ftscrt.com/static/recipe/34e5c4ab-c264-412a-86d3-f6622bc28280.jpg,144,""29,66"",4.18,19000,Normal,Normal",,,,,,,,0
"Sesame Toowoomba Pasta,https://m.ftscrt.com/static/recipe/f237cd8c-ec83-4a88-94a0-f621c94ac930.jpg,588,""57,91"",11.83,33000,Premium,Normal",,,,,,,,0
"Ayam Saos Mentega,https://m.ftscrt.com/static/recipe/07f8f3c1-43c6-42fc-be78-38528435f587.jpg,597,""0,2"",71.63,22000,Mahal,Keto",,,,,,,,0
"Setup Roti Gandum,https://m.ftscrt.com/static/recipe/4ec0a828-9f7e-4dd6-a837-5936a699d996.jpg,183,""49,99"",10.4,19000,Normal,Normal",,,,,,,,0
"Oat Goreng Special,https://m.ftscrt.com/static/recipe/2a4f137e-1dec-42ef-a579-741d05d8323b.jpg,812,""146,95"",40.91,36000,Premium,Normal",,,,,,,,0
"Vegan Chocolate Strawberry Banana Cake,https://m.ftscrt.com/static/recipe/846d26ec-e0cb-47ac-8468-25b5284399d8.jpg,291,""28,06"",6.51,13000,Normal,Normal",,,,,,,,0
"Mie Shirataki Soto,https://m.ftscrt.com/static/recipe/22959696-0618-40a3-9704-bef5c7ba88f2.jpg,307,""34,29"",15.3,20000,Normal,Normal",,,,,,,,0
"Omelet Tuna,https://m.ftscrt.com/static/recipe/3327f0c5-12b5-4148-ac4d-d59fa79f0461.jpg,126,""1,1"",2.22,15000,Normal,Keto",,,,,,,,0
"Japchae Shirataki,https://m.ftscrt.com/static/recipe/454f0499-a2bc-469c-8079-d4bbe2abf1d3.jpg,56,""10,54"",1.6,8000,Murah,Normal",,,,,,,,0
"Pizza Oatmeal Teflon,https://m.ftscrt.com/static/recipe/748dfea7-cd04-4884-9afc-acd54ecf762b.jpg,162,""21,38"",7.12,20000,Normal,Normal",,,,,,,,0
"Poires Helena,https://m.ftscrt.com/static/recipe/fc61ac59-318e-4d0a-a7da-7ab3afb269d1.jpg,388,""9,1"",68.87,21000,Mahal,Normal",,,,,,,,0
"Bayam Jamur,https://m.ftscrt.com/static/recipe/0bf344a8-ca9b-47ba-9712-c3c84cccaaeb.jpg,83,""10,44"",5.93,5000,Murah,Vegetarian",,,,,,,,0
"Gyoza,https://m.ftscrt.com/static/recipe/01c35b4f-3dbb-4654-a79b-a94f6d3204da.jpg,49,""4,86"",3.73,8000,Murah,Keto",,,,,,,,0
"Cah Kangkung Ala,https://m.ftscrt.com/static/recipe/fc8ee1f0-1f60-4c5a-84ce-c5ca87b0aad7.jpg,260,""4,6"",21.22,14000,Normal,Keto",,,,,,,,0
"Sup Telur Jagung,https://m.ftscrt.com/static/recipe/c36b3f65-9f04-4565-91c4-2894d8908415.jpg,216,""5,3"",33,19000,Normal,Normal",,,,,,,,0
"NasGor Receh,https://m.ftscrt.com/static/recipe/784c037d-2270-42db-bd24-1ff36231581e.jpg,140,""3,7"",22.44,18000,Normal,Keto",,,,,,,,0
"Perdekel Tahu Bawang,https://m.ftscrt.com/static/recipe/06ce6870-d0f4-4185-84c8-c051b48e69fc.jpg,42,""0,1"",1.22,10000,Normal,Keto",,,,,,,,0
"Papaya Yogurt with Almonds,https://m.ftscrt.com/static/recipe/c4d6d5a1-748e-410b-be66-108c90421d6d.jpg,210,""42,68"",5.52,13000,Normal,Normal",,,,,,,,0
"Chia Puding,https://m.ftscrt.com/static/recipe/842333d5-8bac-4305-be0d-b072c04422e7.jpg,232,""10,1"",36.86,15000,Normal,Normal",,,,,,,,0
"Kare Capit Kepiting,https://m.ftscrt.com/static/recipe/68de2ec5-a6b6-425e-a6bf-a2cdb3a84b67.jpg,205,""13,2"",26.78,16000,Normal,Normal",,,,,,,,0
"Bubur Manis Oat,https://m.ftscrt.com/static/recipe/71d70958-30fd-4f82-8517-b764b62523a6.jpg,187,""34,09"",3.18,20000,Normal,Normal",,,,,,,,0
"Salad Roll,https://m.ftscrt.com/static/recipe/9002a438-a88b-46ec-9d7c-9b357b59f7dc.jpg,183,""14,96"",15.18,12000,Normal,Vegetarian",,,,,,,,0
"Ayam Tempe Penyet,https://m.ftscrt.com/static/recipe/cfe1c812-5c58-436f-8927-a6416c60dbc2.jpg,458,""31,36"",47.85,33000,Premium,Vegan",,,,,,,,0
"Tahu Kuping,https://m.ftscrt.com/static/recipe/5d6a97d5-c113-4cd5-8051-030aab519b9b.jpg,65,""0,5"",12.09,10000,Normal,Keto",,,,,,,,0
"Tongseng Bango dan Fiber Chreme,https://m.ftscrt.com/static/recipe/f71afba1-d46d-4273-b97b-ae8932e53411.jpg,360,""34,11"",36.39,33000,Premium,Normal",,,,,,,,0
"Green Smoothie,https://m.ftscrt.com/static/recipe/e12d5b7c-1ebc-4fd8-9c7b-0f4330daa42e.jpg,146,""4,5"",37.33,13000,Normal,Keto",,,,,,,,0
"Smoothie Coklat Pisang,https://m.ftscrt.com/static/recipe/b89563c9-0235-41f3-9a44-5ddd69d68722.jpg,280,""60,42"",5.85,19000,Normal,Normal",,,,,,,,0
"Snack Oat,https://m.ftscrt.com/static/recipe/fa5ba034-7e24-4f0c-8927-ee5f7fbd6d86.jpg,26,""3,44"",0.73,6000,Murah,Keto",,,,,,,,0
"Salad,https://m.ftscrt.com/static/recipe/64343068-e4a2-4315-abb1-61511a7a3f82.jpg,475,""55,72"",10.37,29000,Mahal,Vegetarian",,,,,,,,0
"Bread Puding,https://m.ftscrt.com/static/recipe/f6bdcbdd-edb3-444f-87bb-43890db598b0.jpg,77,""10,8"",3.77,6000,Murah,Normal",,,,,,,,0
"Salad Selada Nanas Tomat Cerry,https://m.ftscrt.com/static/recipe/88927be0-c6c8-41c4-b82e-9441bdb59263.jpg,233,""2,1"",14.16,10000,Normal,Keto",,,,,,,,0
"Sawi Gulung,https://m.ftscrt.com/static/recipe/1f1594f4-7118-4217-a9cb-c4d66e68d39c.jpg,44,""1,62"",4.1,6000,Murah,Keto",,,,,,,,0
"Tahu Kol,https://m.ftscrt.com/static/recipe/09b0eaac-f3f8-401a-9b92-31df845d0016.jpg,20,""1,45"",1.58,6000,Murah,Keto",,,,,,,,0
"Dragon Fruit Jelly,https://m.ftscrt.com/static/recipe/b1d1cce9-c733-4f35-b103-d114fc65d1f5.jpg,132,""32,45"",1.95,14000,Normal,Normal",,,,,,,,0
"Dimsum Diet,https://m.ftscrt.com/static/recipe/a6db4d28-2474-48c7-ac73-f6667b2ee455.jpg,52,""5,9"",3.67,7000,Murah,Normal",,,,,,,,0
"Bakso di Soup,https://m.ftscrt.com/static/recipe/30d324ca-bd61-488c-a2e0-7b1b9c075890.jpg,242,""9,99"",20.65,10000,Normal,Normal",,,,,,,,0
"Pancake Naga,https://m.ftscrt.com/static/recipe/396bedc0-9fe1-4f59-8c6c-eb12bfb74a26.jpg,334,""48,64"",17.07,28000,Mahal,Normal",,,,,,,,0
"Bolu Pisang Oat Kukus,https://m.ftscrt.com/static/recipe/a70d08ad-a53f-4c8c-801b-b5556b96f6cf.jpg,46,""8,25"",1.51,6000,Murah,Normal",,,,,,,,0
"Sawi Tahu,https://m.ftscrt.com/static/recipe/ec9f6427-a1c8-40b9-b401-3764138fb446.jpg,246,""1,3"",18.6,14000,Normal,Keto",,,,,,,,0
"Tumis Sawi Putih,https://m.ftscrt.com/static/recipe/4e52a80a-d7e5-4054-923a-632ded6781d3.jpg,263,""22,48"",10.08,12000,Normal,Normal",,,,,,,,0
"Cauliflower Nasi Goreng,https://m.ftscrt.com/static/recipe/16cf7cb1-cfeb-4696-bf81-dbdb98991bee.jpg,184,""23,66"",11.36,12000,Normal,Normal",,,,,,,,0
Susu Gula Merah Segar Dengan Keju Krim,https://m.ftscrt.com/static/recipe/3606e48a-8c24-4e73-932d-7b9d21e66010.jpg,298.0,0.0,18.42,14000.0,Normal,Keto,2
"Chicken Tandoori,https://m.ftscrt.com/static/recipe/d4f21281-6585-4267-a696-7ef1010da743.jpg,218,""9,05"",17.4,16000,Normal,Normal",,,,,,,,0
"Sushi Telor,https://m.ftscrt.com/static/recipe/c5a7c6fb-8c2e-466b-9880-906af2b4098d.jpg,285,""1,5"",46.33,17000,Normal,Keto",,,,,,,,0
"Orange Smoothie,https://m.ftscrt.com/static/recipe/47fcd2a6-0688-4652-8848-b85290662597.jpg,187,""47,88"",2.39,19000,Normal,Normal",,,,,,,,0
"Sayur Pokcoy Tahu Telur,https://m.ftscrt.com/static/recipe/52f53db6-9b6b-4dbe-b241-ccbb0262f3a0.jpg,194,""2,2"",15.36,11000,Normal,Keto",,,,,,,,0
"Bakmi Goreng Shirataki,https://m.ftscrt.com/static/recipe/0aed81a5-92fd-43c4-b97f-2c64ce718d0c.jpg,140,""23,8"",8.94,11000,Normal,Normal",,,,,,,,0
Klapertart,https://m.ftscrt.com/static/recipe/781cce8a-75c1-4d4a-bb92-485a6e77102a.jpg,176.0,2.0,21.01,17000.0,Normal,Keto,2
"Cookies Oatmeal,https://m.ftscrt.com/static/recipe/99c99845-bd46-4473-902b-e4cb3ea341b0.jpg,35,""1,6"",9.82,6000,Murah,Keto",,,,,,,,0
"Sayur Tumis Sawi Telur,https://m.ftscrt.com/static/recipe/20879525-7f81-4dca-a03c-faea7e32fe74.jpg,130,""13,25"",4.66,13000,Normal,Vegetarian",,,,,,,,0
Bubur Oat,https://m.ftscrt.com/static/recipe/912d5461-26e4-451c-961c-d03233c84e77.jpg,413.0,38.0,35.49,21000.0,Mahal,Normal,1
"Nasi Goreng China,https://m.ftscrt.com/static/recipe/d2783c03-6082-46ed-a922-18ddfbef0ffc.jpg,450,""67,2"",14.04,25000,Mahal,Normal",,,,,,,,0
"Tumis Wortel Buncis,https://m.ftscrt.com/static/recipe/10ecb585-4594-4361-aeae-67740979d72a.jpg,295,""53,6"",10.99,11000,Normal,Normal",,,,,,,,0
"Tumis Ayam Jamur Tempe,https://m.ftscrt.com/static/recipe/75000ddf-7b45-4399-a8de-badc6ea3172f.jpg,662,""62,9"",56.15,23000,Mahal,Vegan",,,,,,,,0
"Ayam Suwir Balado,https://m.ftscrt.com/static/recipe/31c80581-c18b-4d36-ba78-3dd0a08a32c4.jpg,708,""112,94"",43.14,35000,Premium,Normal",,,,,,,,0
"Bolu Pisang Kukus,https://m.ftscrt.com/static/recipe/cf4ed3b3-3036-4677-94ed-711f6713e9be.jpg,138,""20,56"",3.47,14000,Normal,Normal",,,,,,,,0
"Hot Choco,https://m.ftscrt.com/static/recipe/0e117bbc-0df5-428c-8840-63c64c292a32.jpg,288,""21,25"",16.2,12000,Normal,Normal",,,,,,,,0
"Yellow Smoothies,https://m.ftscrt.com/static/recipe/745c540c-2619-4fff-889f-34ae372a24f2.jpg,80,""3,3"",21,6000,Murah,Keto",,,,,,,,0
"Capcay Ayam Kuah tanpa Minyak,https://m.ftscrt.com/static/recipe/ba7e96e2-8277-4905-b4a8-bb56214373dd.jpg,91,""5,52"",13.65,5000,Murah,Normal",,,,,,,,0
"Telur Kukus,https://m.ftscrt.com/static/recipe/ab76b9f0-1096-4ab8-bfca-bb33563b69e5.jpg,230,""5,56"",22.64,16000,Normal,Normal",,,,,,,,0
"Bubur Oatmeal Asin,https://m.ftscrt.com/static/recipe/a01980be-616d-4107-a203-a94d7b2cf85a.jpg,223,""27,49"",12.26,19000,Normal,Normal",,,,,,,,0
"Kekian Udang,https://m.ftscrt.com/static/recipe/d430fd36-3f49-4c7b-b50d-cae272bc8ad9.jpg,46,""1,93"",7.19,9000,Murah,Keto",,,,,,,,0
"Cah Sayur,https://m.ftscrt.com/static/recipe/a79b6ace-bec2-474f-ac5c-e8773e3a89cf.jpg,240,""36,44"",20.94,18000,Normal,Vegetarian",,,,,,,,0
"Spaghetti Aglio Olio Bandeng tanpa Minyak,https://m.ftscrt.com/static/recipe/d71e2036-a956-4e46-a3bd-860e77aefe9b.jpg,462,""7,2"",65.74,30000,Mahal,Normal",,,,,,,,0
"Tumis Sawi Putih,https://m.ftscrt.com/static/recipe/d94ad929-9114-4cc0-a9aa-981330df9b33.jpg,163,""8,6"",2.47,18000,Normal,Normal",,,,,,,,0
"Cah Brokoli Ayam,https://m.ftscrt.com/static/recipe/3cb3465c-8292-4016-9a11-4c1d711af10a.jpg,183,""4,84"",20.91,13000,Normal,Keto",,,,,,,,0
"Nasi Goreng Tapi Bohong,https://m.ftscrt.com/static/recipe/83848c8a-1d58-4e9a-a00c-bc09e0389c9b.jpg,291,""40,05"",6.81,13000,Normal,Normal",,,,,,,,0
"Mini Pancakes,https://m.ftscrt.com/static/recipe/123ed72d-c496-4fe0-9c0e-26a9a2b8287b.jpg,353,""4,3"",62.77,32000,Premium,Keto",,,,,,,,0
"Steak Tempe,https://m.ftscrt.com/static/recipe/a2ed5362-451f-48e5-b314-f81d6a4c549b.jpg,135,""29,52"",6.21,19000,Normal,Vegan",,,,,,,,0
"Shirataki Tomato Soup,https://m.ftscrt.com/static/recipe/a6235aa8-0fc3-4813-b99a-9a0c93a34218.jpg,163,""21,74"",6.29,10000,Normal,Normal",,,,,,,,0
"Steak Tempe,https://m.ftscrt.com/static/recipe/5905c699-0809-4d8c-b364-dac48f954d89.jpg,992,""113,09"",43.39,21000,Mahal,Vegan",,,,,,,,0
"Capcay,https://m.ftscrt.com/static/recipe/22db4992-c520-417a-abaf-397d6bd88f2b.jpg,363,""47,46"",17.07,39000,Premium,Normal",,,,,,,,0
"Sohun Goreng,https://m.ftscrt.com/static/recipe/17dd0d3f-746c-4445-9b64-b7f37d23dc82.jpg,392,""44,58"",27.31,23000,Mahal,Normal",,,,,,,,0
"Acar Timun Nanas,https://m.ftscrt.com/static/recipe/8f354947-ebb2-431b-9e36-29fbe3e23bf5.jpg,113,""28,13"",2.33,12000,Normal,Normal",,,,,,,,0
"Tumis Jamur Kacang Panjang,https://m.ftscrt.com/static/recipe/01afd4dc-a355-4305-a878-412d4de54ec4.jpg,91,""19,07"",3.39,7000,Murah,Normal",,,,,,,,0
"Telur Sutera,https://m.ftscrt.com/static/recipe/be854e2e-eccc-4c08-9702-b831f1deac1f.jpg,195,""3,6"",22.75,20000,Normal,Keto",,,,,,,,0
"Manggo Sticky Oats,https://m.ftscrt.com/static/recipe/fcabcad6-816b-4806-9a6f-e6279895a49d.jpg,262,""48,62"",2.82,20000,Normal,Normal",,,,,,,,0
"Spring Roll,https://m.ftscrt.com/static/recipe/e98a016b-1bf7-4053-aeed-74fdb2746a74.jpg,332,""43,24"",10.17,34000,Premium,Normal",,,,,,,,0
"Agar-agar Kukus Coklat,https://m.ftscrt.com/static/recipe/3fa2439a-28a0-444a-bc7e-e80426a4c2b9.jpg,113,""16,01"",2.42,17000,Normal,Normal",,,,,,,,0
"Ayam Geprek Low Calori,https://m.ftscrt.com/static/recipe/eabdfa03-a087-43f4-8d8c-1bfeca1b297f.jpg,329,""18,1"",26.56,31000,Premium,Normal",,,,,,,,0
"Sup Daging Tahu,https://m.ftscrt.com/static/recipe/79fe14e7-521b-4a01-9334-dced8c9d6f70.jpg,269,""22,49"",14.42,20000,Normal,Normal",,,,,,,,0
"Soto Ayam,https://m.ftscrt.com/static/recipe/7c98f300-064c-4670-a8b9-27334f534f84.jpg,121,""16,25"",10.64,17000,Normal,Normal",,,,,,,,0
"Oseng Buncis Tempe,https://m.ftscrt.com/static/recipe/cd166886-7814-47aa-a887-b63f43cb165b.jpg,212,""6,3"",36.32,11000,Normal,Vegan",,,,,,,,0
"Nasi Goreng Oatmeal,https://m.ftscrt.com/static/recipe/25599d7d-d772-446a-abb6-c9c15f5378b2.jpg,336,""53,09"",7.7,23000,Mahal,Normal",,,,,,,,0
"Nasgor Merah,https://m.ftscrt.com/static/recipe/c3fa8c42-88d6-40db-8f3b-72ee7b6dcdad.jpg,322,""5,7"",41.06,20000,Normal,Normal",,,,,,,,0
"Mentai Shirataki,https://m.ftscrt.com/static/recipe/c070cb47-4325-4c25-bcc0-ec46acff2a7d.jpg,352,""24,27"",2.2,23000,Mahal,Normal",,,,,,,,0
Sundubu jigae ala Indonesia,https://m.ftscrt.com/static/recipe/c04c2b45-ead3-41bf-95ac-3044044fa40c.jpg,218.0,2.0,16.82,14000.0,Normal,Keto,2
"Ayam Crispy Oatmil,https://m.ftscrt.com/static/recipe/a0f3d59b-ae95-44ca-860e-880ed8188266.jpg,284,""14,82"",20.48,10000,Normal,Normal",,,,,,,,0
"Sup Bening,https://m.ftscrt.com/static/recipe/9616bc7e-6cbd-469d-9808-01a1c5aa3f1a.jpg,162,""2,5"",22.7,18000,Normal,Keto",,,,,,,,0
"Roti Tawar,https://m.ftscrt.com/static/recipe/134a0c2b-3e5d-4fe3-a74e-f415bc70b9a5.jpg,134,""1,4"",21.25,20000,Normal,Keto",,,,,,,,0
Sup Sehat,https://m.ftscrt.com/static/recipe/87288cd6-59e7-4c3a-895c-1c5ee5472a27.jpg,56.0,3.0,4.53,9000.0,Murah,Keto,0
"Swallow,https://m.ftscrt.com/static/recipe/6d8920e8-7bb1-4a63-97a1-fd01034384ae.jpg,5,""1,98"",0,6000,Murah,Keto",,,,,,,,0
"Salad Ayam,https://m.ftscrt.com/static/recipe/b31792aa-d36e-470b-9bdb-26204ea4eb05.jpg,376,""41,93"",22.51,34000,Premium,Vegetarian",,,,,,,,0
"Bolu Cup,https://m.ftscrt.com/static/recipe/83f65312-9b0e-438d-8a5e-9a6f722799c4.jpg,59,""0,2"",9.88,5000,Murah,Keto",,,,,,,,0
"Pokcoy Siram Jamur Enoki,https://m.ftscrt.com/static/recipe/59a7fc8c-6a05-401f-bbfa-47f263f246c2.jpg,116,""1,7"",5.65,11000,Normal,Keto",,,,,,,,0
"Kue Muesli,https://m.ftscrt.com/static/recipe/50ad7400-c810-487d-ba9c-2909754e3567.jpg,78,""1,5"",13.85,6000,Murah,Keto",,,,,,,,0
"Sup Baso Ikan,https://m.ftscrt.com/static/recipe/8580b817-a7ad-40a4-b539-36a66c272e7f.jpg,70,""0,4"",7.47,5000,Murah,Keto",,,,,,,,0
Mie Shirataki,https://m.ftscrt.com/static/recipe/efd6cfee-349a-4fbf-a7c3-329f6cab26ff.jpg,371.0,36.0,32.95,25000.0,Mahal,Normal,1
"Tumis Sawi Tahu,https://m.ftscrt.com/static/recipe/457f6fae-1e97-4491-9eaf-fc91cd2a1a2a.jpg,269,""6,3"",25.24,10000,Normal,Normal",,,,,,,,0
